"","County","Year_2020_04"
"1","Alameda",331
"2","Alpine",0
"3","Amador",29
"4","Butte",78
"5","Calaveras",10
"6","Colusa",0
"7","Contra Costa",0
"8","Del Norte",0
"9","El Dorado",0
"10","Fresno",149
"11","Glenn",1
"12","Humboldt",37
"13","Imperial",32
"14","Inyo",3
"15","Kern",82
"16","Kings",4
"17","Lake",5
"18","Lassen",4
"19","Los Angeles",0
"20","Los Angeles City",0
"21","Madera",23
"22","Marin",85
"23","Mariposa",3
"24","Mendocino",39
"25","Merced",23
"26","Modoc",0
"27","Mono",1
"28","Monterey",137
"29","Napa",21
"30","Nevada",9
"31","Orange",550
"32","Placer",103
"33","Plumas",3
"34","Riverside",272
"35","Sacramento",472
"36","San Benito",2
"37","San Bernardino",193
"38","San Diego",0
"39","San Francisco",0
"40","San Joaquin",0
"41","San Luis Obispo",53
"42","San Mateo",0
"43","Santa Barbara",0
"44","Santa Clara",443
"45","Santa Cruz",53
"46","Shasta",23
"47","Sierra",0
"48","Siskiyou",3
"49","Solano",95
"50","Sonoma",103
"51","Stanislaus",65
"52","Sutter",9
"53","Tehama",7
"54","Trinity",1
"55","Tulare",61
"56","Tuolumne",34
"57","Unknown",310
"58","Ventura",133
"59","Yolo",36
"60","Yuba",33
