"","X","County","Year_2020_07"
"1",1,"Alameda",310
"2",2,"Alpine",0
"3",3,"Amador",68
"4",4,"Butte",132
"5",5,"Calaveras",7
"6",6,"Colusa",0
"7",7,"Contra Costa",0
"8",8,"Del Norte",0
"9",9,"El Dorado",0
"10",10,"Fresno",95
"11",11,"Glenn",1
"12",12,"Humboldt",61
"13",13,"Imperial",13
"14",14,"Inyo",1
"15",15,"Kern",58
"16",16,"Kings",17
"17",17,"Lake",1
"18",18,"Lassen",0
"19",19,"Los Angeles",0
"20",20,"Los Angeles City",0
"21",21,"Madera",13
"22",22,"Marin",98
"23",23,"Mariposa",0
"24",24,"Mendocino",57
"25",25,"Merced",33
"26",26,"Modoc",1
"27",27,"Mono",0
"28",28,"Monterey",261
"29",29,"Napa",9
"30",30,"Nevada",3
"31",31,"Orange",337
"32",32,"Placer",94
"33",33,"Plumas",0
"34",34,"Riverside",244
"35",35,"Sacramento",331
"36",36,"San Benito",1
"37",37,"San Bernardino",142
"38",38,"San Diego",0
"39",39,"San Francisco",0
"40",40,"San Joaquin",0
"41",41,"San Luis Obispo",58
"42",42,"San Mateo",0
"43",43,"Santa Barbara",0
"44",44,"Santa Clara",288
"45",45,"Santa Cruz",60
"46",46,"Shasta",16
"47",47,"Sierra",0
"48",48,"Siskiyou",6
"49",49,"Solano",56
"50",50,"Sonoma",204
"51",51,"Stanislaus",47
"52",52,"Sutter",8
"53",53,"Tehama",8
"54",54,"Trinity",1
"55",55,"Tulare",118
"56",56,"Tuolumne",44
"57",57,"Unknown",462
"58",58,"Ventura",108
"59",59,"Yolo",35
"60",60,"Yuba",38
