"","County","Year_2020_05"
"1","Alameda",316
"2","Alpine",0
"3","Amador",86
"4","Butte",173
"5","Calaveras",26
"6","Colusa",0
"7","Contra Costa",0
"8","Del Norte",0
"9","El Dorado",0
"10","Fresno",63
"11","Glenn",1
"12","Humboldt",65
"13","Imperial",38
"14","Inyo",0
"15","Kern",66
"16","Kings",2
"17","Lake",5
"18","Lassen",0
"19","Los Angeles",0
"20","Los Angeles City",0
"21","Madera",29
"22","Marin",97
"23","Mariposa",0
"24","Mendocino",50
"25","Merced",21
"26","Modoc",0
"27","Mono",0
"28","Monterey",228
"29","Napa",32
"30","Nevada",33
"31","Orange",497
"32","Placer",70
"33","Plumas",3
"34","Riverside",237
"35","Sacramento",406
"36","San Benito",0
"37","San Bernardino",157
"38","San Diego",0
"39","San Francisco",0
"40","San Joaquin",0
"41","San Luis Obispo",53
"42","San Mateo",0
"43","Santa Barbara",0
"44","Santa Clara",463
"45","Santa Cruz",55
"46","Shasta",27
"47","Sierra",1
"48","Siskiyou",13
"49","Solano",39
"50","Sonoma",112
"51","Stanislaus",38
"52","Sutter",12
"53","Tehama",2
"54","Trinity",2
"55","Tulare",117
"56","Tuolumne",56
"57","Unknown",179
"58","Ventura",148
"59","Yolo",45
"60","Yuba",47
